Seat Type,Route,Type of Traveller,Date flown,Reccomend,Comfort rating,Comment
First Class,Dubai to London Heathrow,Family Leisure,November 2017,0.0,,"✅ Trip Verified | Flew British Airways from Dubai to London Heathrow. Arrived at Dubai airport, checked in - and endured horrendous security. Not BAs fault. Walked miles to the ""new"" lounge. It's a weird set up. You walk through the Club option, with a considerable variation of food - to a tiny room with small options of food. Seating very mediocre. Made our way to the plane. Departed bang on time. Airbourne I went for lunch straight away - after a couple of G&Ts. Arabic lamb starter. Boring and tasteless. No other options. Skipped the soup. Had a salad. The beef mains was very good - not exceptional and no wow factor. Just nice. Red wine was OK - mid priced stuff at about £25 a bottle. My wife was told the beef was now ""unavailable"". My friend had beef and so did I - when challenged on this I was told - only 3 beefs aboard! This flight was again full and had been for weeks. 14 people. 3 beefs. A joke. My wife had an Arab dish which she did not like. When it came to coffee, my friend, then I - had a choice of chocolates. My wife then had the box offered - only to have it more or less demanded back by a pushy FA. Most BA cabin staff are good - this one was a PR disaster. Flight was smooth all the way home. Another sad experience from our national carrier. Definitely not worth some of the extreme prices posted for this route."
Business Class,Saint Lucia to London Gatwick,Business,November 2017,0.0,,✅ Trip Verified | Flew British Airways from Saint Lucia to London Gatwick. Agree with other recent reviews: BA quality is severely lacking compared to other Oneworld carrier’s business class. We were not addressed by name. Staff seemed rushed and not proactive at all: had to ask for anything we required. Not all breakfast items were available. Seat space and comfort seriously under par. Nobody came to collect rubbish prior to landing so it remained on the floor in front of me. Did not feel like valued customers.
Business Class,London Heathrow to Belfast,Business,November 2017,1.0,,✅ Trip Verified | Flew from London Heathrow to Belfast George Best Airport on BA1414. Boarding was well controlled and the breakfast food served onboard was very good. I was also impressed by the fast and efficient service. Arrived in Belfast ahead of schedule time. Overall very good flight and service.
Economy Class,London to Miami,Solo Leisure,November 2017,0.0,,"✅ Trip Verified |  London to Miami. British Airways have been so disappointing and need to improve fast. They cancelled a flight the morning of a flight and so I had to buy a new flight. The compensation they offered  was £22. Then my most recent trip was to Miami which I had an expired ESTA but instead of letting me know they could put me on flight for a small fee they let me buy a £1000 new flight. Then offered me a £112 refund when I phoned to complain. I am a BA member and must say the customer service is atrocious, as a company it’s just spiralling down."
Business Class,London Heathrow to New York JFK,Couple Leisure,November 2017,1.0,,"✅ Trip Verified | Flew London Heathrow to New York JFK. Have flown this route a number of times with British Airways, but this was my first experience with the new Club World offerings (White Company bedding, improved catering, refurbished 747 club world cabin). The new improvements are excellent, particularly the catering. Both the presentation and the taste of the new food is a significant step above the previous Club World catering offering and the new ‘pick your starter and desert’ options from the display trolley is a real nice touch. The new bedding makes the Club World bed much more comfortable to sleep on."
Economy Class,Berlin to London City,Business,September 2017,0.0,,"✅ Trip Verified | Berlin to London City. I have never experienced such an unreliable, unprofessional airline, that is so hard to contact. My flight kept being delayed for hours. After more than 4 hours delay, there was no point for me to fly to London anymore, as I had missed an important meeting. I was told that I will get my flight price refunded and also get a compensation. After a few days I call their customer support to ask about the refund. They told me that I will get the refund within 7 days. After 4 weeks, I notice that they still haven't refunded me. It's very difficult to contact them. The phone hotline is only available until 5pm (Monday-Friday). They hide the contact form somewhere deep in their website. Once I managed to send them a message, I only get a reply a few days later telling me, that they can't reply to this case via email and that I should call. All I want at this point is to get my deserved flight price refund. I take an hour off my work to be able to call in their short opening times. After being on hold for a while, it turns out, they made a mistake and will refund me the ticket within the next 48 hours. A very convenient mistake, to forget a 360€ refund and not be able to look into this via an email inquiry. Only after I asked what compensation I will get for this, I was offered 5000 Avios points. No thanks, with that level of unreliability and bad customer service, I will make sure to never fly British Airways again. I make sure to tell all my friends about this experience."
Economy Class,Funchal to London Gatwick,Solo Leisure,November 2017,1.0,,"✅ Trip Verified | Flew Funchal to London Gatwick. Just wanted to thank the staff on the aircraft for retrieving my game console, was a pleasure to fly with a great airline like British Airways. I left my console on the flight, once I realised that I have left it behind I headed over to the help desk which is located in the baggage control area. The staff were friendly and happy to assist me, the gentlemen made a call and while this was happening the air hostess appeared with my console in hand. This has really made me appreciate flying with a high quality airline. Future flights to Madeira are most certainly going to be with British Airways."
Business Class,Newcastle to San Francisco via London Heathrow,Couple Leisure,August 2017,0.0,,"✅ Trip Verified | Flew Newcastle to San Francisco via London Heathrow with British Airways. One issue after another! The flight from Newcastle boarded early but due to weather conditions in London, we departed late. We should have had a two hour lay-over for our connecting flight but arrived only thirty minutes prior to departure to San Francisco and were told at disembarkation that we had been re-routed via Washington! Our booked flight to San Francisco also departed late and we sat in the lounge watching it push back. We finally got on the Washington bound aircraft but were again delayed in order to allow late arriving passengers from Amsterdam to catch the flight. The delay meant that the late departure was then caught up in a computer problem at Heathrow thus delaying the flight further. We eventually arrived in Washington twenty minutes before the next connecting flight - there was an announcement over the tannoy system for us to hurry up but no physical help available. Obviously we missed the flight and spent the next hour (around about 23.00) trying to find help at the check-in desk in a practically empty airport. United (acting on behalf of BA) checked us onto a flight the following morning and the BA staff eventually found us a hotel room thirty minutes drive away. Ironically, the BA personnel had been busy ensuring the the passengers from Amsterdam that had caused the late departure made their connecting flight and were therefore not available to help us! We were also downgraded to economy on the flight between Washington and San Francisco as business class was full. We eventually got to San Francisco about 22 hours after our scheduled arrival. BA offered no compensation for either the time lost or the down-grade in class. They did pay for the taxi from the hotel and the cost of the pre-booked (but unused) hotel in San Francisco. The airline blamed everything on circumstances and would not accept any responsibility. Not a good experience at all and nobody really cares!"
Business Class,Manchester to London,Couple Leisure,October 2017,0.0,,"✅ Trip Verified | Manchester to London. We were flying business class and expected a fast track boarding, but alas the fast track boarding queue was longer than normal boarding queue! Then on the flight it was the case of 2 ends of the plane on either side of the curtain, those in the front were offered a quick sandwich and a drink those behind had to purchase. The short flight was on time, the leg room in front of the plane was exactly same as at the rear except the middle seat was blocked off! Though it felt like business class in the plane, on the ground pre boarding it certainly did not! BA needs to improve and fast?"
Economy Class,London to Athens,Family Leisure,November 2017,0.0,,"✅ Trip Verified |  London to Athens. On the date of the flight I received a text message and an email saying my flight is full so I could check in my carry on luggage for free, later on another text saying that I will have 46 minute delay. I was at the airport almost 3 plus hours before. Checked in at the machines but It couldn't allocate my seat number. Then a British airways assistant came and successfully gave me my boarding pass with my seat number. Seating at a cafe I was checking the tv screen every 5-10 minutes and it said delay 12:46. My flight was scheduled for 12:00. At 11:45 I tried to pass through security but the machine would allow me to scan my boarding pass and asked me to seek assistance. The security officer told me that I lost the flight because my flight was at 12:00 and suggested me to go to counter C1. Now at the counter C1 a lady told me that the flight was at 12:00 and I lost it. While I was explaining that the flight will be delayed she made phone calls and tried to explain the whole situation. Then she told me to go through security because the bar code on my boarding pass will be valid for 2 minutes! Went straight to my exit and it was packed from people sitting. Waited at the gate for another almost hour and in total the delay on arrival to Athens was 1hr 20mins."
Economy Class,Berlin Tegel to London Heathrow,Business,November 2017,0.0,,"✅ Trip Verified | Very disappointing. I was scheduled on a British Airways flight to connect to a long haul flight at Heathrow and having flown BA in the past it was very sad to see how BA service went down this year. Meal and drinks for purchase, uninspired staff and delay on inbound flight. I would fly a low cost carrier instead, since that's exactly what BA now achieves. Many years ago it was one of the european flagship carriers and it was fun to fly BA, now it's just another shrinking violet."
Business Class,London Heathrow to Doha,Couple Leisure,October 2017,0.0,,"✅ Trip Verified | This was really a no frills business class. This flight was part of trip with Qatar Airways. Unfortunately, the London to Doha was operated by British Airways. The seat is cramped and really outdated compared to the other major airlines. The IFE was really poor with old screen system and poor range of options. The meal was not good related to the price you have to pay. The FAs were really dull, nothing wrong but no effort to communicate with passengers like FAs from other airlines. BA really need to refresh or renovate their business class cabin. It might be excellent innovation back in mid 2000s but the industry has moved on."
Economy Class,Singapore to Sydney,Couple Leisure,November 2017,0.0,,"✅ Trip Verified | British Airways is seriously lacking in all areas. Singapore to Sydney return in economy. Fly the route often, usually with Qantas which are great. The flight out to Sydney is only 7.5 hours and over night - most people are looking to maximise their sleep. Especially those who have come from London. Cabin crew were surly, unhelpful and seemed rushed and disorganised. After departure they took almost three hours to get the dinner service over and done with and turn off the lights so people could get some rest. During the flight cabin crew chatted loudly and seemed unaware that people may actually want to rest and get some sleep. The food is very average also. Two hours before landing, they serve a pre landing breakfast snack of a sandwich wrapped in plastic. No tea or coffee. The competition is too strong for this route. I would never use them again."
Economy Class,London Heathrow to Basel,Business,November 2017,0.0,,"✅ Trip Verified |  London Heathrow to Basel. Boarding: There are now so many 'priority boarding' passengers that all those who do not fall into this category are left to feel like second-class citizens. (The new numbering system is likely to cement this impression further.) Since I was traveling on a 'low-price' ticket, I found myself seated right at the back of the airplane. Yes, BA appears intent on replicating England's class system!  On board there was a delay of 40 minutes due to a French ATC strike. Obviously, this was not BA's fault, but no drinks, not even water was offered during the wait on the tarmac. After take off, the drinks trolley moved painfully slowly down the cabin. Why BA offer heated sandwiches, further slowing down their BOB service even further, when only two ec cabin crew are serving in the first place, is beyond me. The no-cash policy further contributes to the snail-pace progress of the trolley. The trolley (and a cup of tea) was within grasping distance as the captain announced we would be landing in ten minutes. End of service. Someone at the back quipped, 'So you opted for the premium seats, too!' Yes, BA is a joke, its attitude towards passengers (its customers) shameless and embarrassing. It wasn't until I had left the airport that I was able to get that cup of tea. Needless to say, Eurowings and EasyJet do things much better."
Economy Class,Miami to London Heathrow,Couple Leisure,November 2017,0.0,,"✅ Trip Verified |  Miami to London Heathrow. A bit of a mixed bag. Boarding at Miami was conducted efficiently and the flight departed on time, albeit that some passengers were still getting into their seats as the aircraft was pushed back! So much for safety. Seat would not remain in the upright position resulting in an uncomfortable flight and subsequent aching back on arrival at Heathrow. Also my wife’s IFE failed mid flight. Impossible to hear information from the flight deck. These ageing 747’s really are in desperate need of replacement. The congealed chicken curry was disgusting and unpalatable, the alternative pasta dish was deemed acceptable. The minimal breakfast offering leaves a lot to be desired. The only redeeming feature was the excellent service provided by the young enthusiastic cabin crew. They must feel very demoralised given the poor quality product they have to support. Flight arrived early and luggage was delivered promptly."
Business Class,Prague to Washington via London,Business,November 2017,0.0,,"✅ Trip Verified |  Prague to Washington via London. British Airways has turned out to be the worst airline I have flown. Unfortunately I am forced to fly them often from PRG, if I want to connect on their One World partner AA, which I have Exec Plat status with. BA charges for everything, including water. PRG-LHR is on a small business class seat (same as in economy), dried up breakfast that was tasteless, flight attendants that could not care less and when I asked for coffee told me they were landing soon (40 mins before landing) and that I should have thought of it earlier. London to Washington  was on a broken down 747, seat sofa which you are supposed to lie on broke down and caved in on the floor. Had to be moved twice before they found functioning seat. Food was dried up beef with red that gave me a headache after two sips. Entertainment system has about 40 movies, compared to about 200 options on AA flights. Overall horrible experience. The extra added costs for flying over LHR and paying extra  tax is ridiculous. BA, what is it about your flights PRG-LHR, with your onboard luggage allowance only? They charge USD 100 for a checked in luggage even to Emerald partners?  Horrible food, aircraft, LHR and transfer experience. Good luck BA, will avoid at all costs. Included a picture from the bathroom which was broken."
First Class,Cape Town to London,Couple Leisure,November 2017,1.0,,"✅ Trip Verified |  Cape Town to London. I can report a positive experience on our flight. From the moment we boarded, cabin crew were polite and efficient, and provided a high-class service throughout. Seats 4E/F suffer a bit from poor storage space and a lack of privacy, but they are the best for a couple. Glasses were kept topped-up even before take-off. The menu provided four choices of both starter and mains, and all the dishes were both well-presented and well-cooked. Talking to cabin crew, it seems that staff are now being trained to prepare and present food with greater care, and this really showed on the flight. The IFE screen was the usual low resolution with a limited selection of films. Still no WiFi, of course. Take-off and landing was on schedule, and announcements from the cockpit had that typical air of friendly professionalism. An excellent flight, overall."
Premium Economy,Bangkok to London Heathrow,Business,September 2017,0.0,,"✅ Trip Verified |  Bangkok to London Heathrow. Despite all the negative reviews I decided to fly with BA on my recent trip to Europe, on this route BA has a daylight flight (I can't stand midnight plus departure and night flight where you can't sleep anyway and arrive at your destination wasted), more luggage allowance in premium economy and they advertised what seemed to be a comfortable cabin and stylish service. The fare was also pretty good. In the end, I have to admit my mates were right, this was a let down all along. My issues were the following. I purchased a ticket in premium economy. The advertised seats on the BA Thailand website were reflecting the newer version, when in fact not one of the 777-200 which operates the LHR-BKK-LHR route have been refitted. The seat date from the early 2000's - almost two decades ago, and I had to pay 35 pounds each way to select my seat. Come on ! Yes I got my amenities kit, a better pillow British papers and pre-departures drinks, a full bar and plenty of drinks to keep me going for 12hr plus. But the seat is old, not that comfy, the IFE belongs to the late 90's and is a disgrace to the industry. Great sound, good headset but rubbish tiny screen with a poor picture quality. I spent 12hr looking at the ceiling as I could not see squat. The seat itself is way outdated and the cabin/seat were dirty. It was however A bit better out of LHR but still not that great. The meal service was not good out of BKK. Bar service did not have peanuts or savory snack - just a napkin. Main dish was ok, but appetizer and dessert a cheap joke. No cheese nor crackers. Not enough at all, you are left starving, and in economy it is even worst. I have to say it was better on the return leg and will give you more details in a bit. Cabin crew told me they just reverted to the old style as they have had way too many complaints and the J/C had a brand new a la carte service as well.  Cabin crew operating both legs were great - professional, approachable and present in the cabin every 30mins with drinks. Out of LHR the main meal was this time pretty good, including cheese and crackers and a much better appetizer plus desert. The only false note was the meal pre-selection. You get served first as they do with special meals - but do not offer you any drinks. You have to wait for a very long time. By then my meal was cold and i sent it back. They did replace it right away, but this was clearly a waste of time. Pre-selecting your meal, means you are sure to get your choice of casserole and that you wish to be served at the same time then others so the bar is right behind and one can enjoy a glass of red with is steak. Pax with Special meals service can wait as the crew have way more to hand out and these veggies lovers often do not drink anyway. Other than that it was this time a decent meal. Having said that, there was no middle service, which meant 9 h between lunch and breakfast without even a snack. Not acceptable on such a long haul. Funny enough the BKK-LHR feature three meals so why not on the LHR-BKK leg ?. BA could be so much better. They have a great force but way too many cost cutting left and right - and should have upgraded all their fleet at least 5 years ago. It is clear to me the CEO is running BA to the ground and needs to get the sack by share holders sooner rather than later ."
Economy Class,London Gatwick to Verona,Solo Leisure,October 2017,0.0,,"✅ Trip Verified | After 3 hour delay at airport, flight destined for Verona with arrival time of 21.35, was rerouted to Venice, meaning bus transfer and arrival at 2.30am. We passsengers were informed minutes before boarding plane of this change. I had planned to stay the night with a friend who was going to pick me up at the airport. At such an unsociable hour of the morning, I could no longer disturb her. I explained all this to BA, who advised me that a rep would help me find a hotel and I would be reimbursed. On arrival, I was brusquely told by a BA rep to go online and find my own accommodation. After a more than 5 hour delay, my phone had no battery life. I was left to borrow a fellow passenger's phone and search for the cheapest motel near the airport - miles away from where I should have been. It transpires BA knew there had been technical problems in the morning of the flight - yet sent passengers an email urging us to get to the airport even earlier. I wasted 5 hours at Gatwick (when I could have carried on working). Also had I known, would have tried to get on an earlier flight or postpone our journey. To top it all, when all 150 passengers finally arrived at the deserted airport of Verona at 2.30 am - no taxis. BA had not thought of contacting local taxis informing them of a queue of tired clients. Further wait. Not only had I missed my dinner reunion, to my astonishment British Airways has refused to reimburse my hotel bill, stating that they had after all got me to my destination. I hadn't even counted the extra taxi bills I incurred (£45) - but I did expect BA to reimburse the 50€ hotel as a goodwill gesture. Not impressed."
Economy Class,Madrid to London Heathrow,Business,September 2017,0.0,,"✅ Trip Verified | Flew British Airways from Madrid to London Heathrow. An aircraft full of people. We were being asked to check-in our hand luggage or, in some cases, to leave it by the aircraft and pick it up upon arrival. I must say I find this irritating, as I had one piece of luggage, within the rules. Other people didn't. Those should be asked to do this. I truly felt as if I were in a low cost airline, which is sad to see. Short-haul with BA never again!"
First Class,Tel Aviv to London,Solo Leisure,November 2017,1.0,,"✅ Trip Verified |  Tel Aviv to London. We arrived at the airport with a lot of time due to the stories of how long security can take. The stories were true, although it is actually a very efficient and well organised airport, they just have very thorough border and immigration services as well as all passengers face enhanced security scanning of hand luggage etc. There were limited priority options available for First Class passengers, although I suspect that is more down to the airport than British Airways. The lounge provided is a third party one and is the same for business and first, and isn’t really acceptable. If it was just business then it would be ‘fine I guess’ but there is not very much seating, the food offerings were almost non existent and drinks were limited. Even the main coffee machine was broken so there was another, very complicated, machine with all instructions only in Hebrew. At the gate there was the usual ‘priority boarding’ queue as well as the regular queue. But the priority queue included all first and club passengers as well as all Oneworld emerald, sapphire and ruby members - which is a lot of people! Whilst it is nice to offer a perk to all of those members, there really should be another queue for first and Oneworld emerald as the queue was quite long. The service on board didn’t start off very well for me as due to some confusion amongst the crew I got missed out when crew were offering drinks amenity kits etc, and after seeing every one was finished and the crew were all relaxing at the front I had to go to the galley and ask. They were very apologetic and provided excellent service for the rest of the flight but those kind of mistakes really shouldn’t happen in first. The seat is comfortable and offers a reasonable level of privacy and storage space. Annoyingly the ife has to be stowed for take off and landing, which limits how much you can watch. It was the Thales entertainment system so the quality was reasonable and with a fairly good selection of things to watch. The food and drinks on board were all excellent, including a delicious veal cheek main course and some wonderful wines that went together very well. Aside from the hiccup at the beginning, the whole experience on board felt very attentive and special. It would have been nice to have been referred to by name, which I have had before on BA and with other airlines, even in business class. On arrival the priority bags came out incredibly quickly and were on the belt before we got there, which was impressive as immigration had also been very quick. Overall this was a very nice flight with a solid product and excellent crew, let down only by the ground service in Israel. I used Avios and a companion voucher for this flight so it worked out excellent value for money."
